GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),TIMEPERIOD (CODE),TIMEPERIOD (DISPLAY),TIMEPERIOD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.1 [22.6-23.6],23.10000,22.60000,23.60000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2002,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.1 [22.7-23.6],23.10000,22.70000,23.60000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2003,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.2 [22.7-23.7],23.20000,22.70000,23.70000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2009,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,23.0 [21.8-24.2],23.00000,21.80000,24.20000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983,1983,,AFR,Africa,,NGA,1983,1983,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.3-5.9],5.10000,4.30000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984,1984,,AFR,Africa,,NGA,1984,1984,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.3-5.9],5.10000,4.30000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1985,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.4-5.8],5.10000,4.40000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1986,1986,,AFR,Africa,,NGA,1986,1986,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.2 [4.5-5.8],5.20000,4.50000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1987,1987,,AFR,Africa,,NGA,1987,1987,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.2 [4.6-5.8],5.20000,4.60000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.5 [5.0-5.9],5.50000,5.00000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.5 [5.0-6.0],5.50000,5.00000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2002,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.5 [4.9-6.0],5.50000,4.90000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2003,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.5 [4.9-6.0],5.50000,4.90000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1981,1981,,AFR,Africa,,NGA,1981,1981,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.1-6.0],5.10000,4.10000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1982,1982,,AFR,Africa,,NGA,1982,1982,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.2-6.0],5.10000,4.20000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983,1983,,AFR,Africa,,NGA,1983,1983,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.3-5.9],5.10000,4.30000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984,1984,,AFR,Africa,,NGA,1984,1984,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.3-5.8],5.10000,4.30000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1985,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.4-5.8],5.10000,4.40000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998,1998,,AFR,Africa,,NGA,1998,1998,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.6-5.5],5.10000,4.60000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999,1999,,AFR,Africa,,NGA,1999,1999,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.6-5.5],5.10000,4.60000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.7-5.5],5.10000,4.70000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.7-5.6],5.10000,4.70000,5.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987,1987,,AFR,Africa,,NGA,1987,1987,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,129.1 [123.1-135.1],129.10000,123.10000,135.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988,1988,,AFR,Africa,,NGA,1988,1988,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.8 [122.8-134.7],128.80000,122.80000,134.70000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1989,1989,,AFR,Africa,,NGA,1989,1989,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.5 [122.6-134.4],128.50000,122.60000,134.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1990,1990,,AFR,Africa,,NGA,1990,1990,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.3 [122.4-134.2],128.30000,122.40000,134.20000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1991,1991,,AFR,Africa,,NGA,1991,1991,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.2 [122.4-134.0],128.20000,122.40000,134.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,129.5 [124.7-134.3],129.50000,124.70000,134.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2005,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,129.9 [125.0-134.8],129.90000,125.00000,134.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2006,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,130.3 [125.2-135.4],130.30000,125.20000,135.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2007,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,130.6 [125.3-135.9],130.60000,125.30000,135.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986,1986,,AFR,Africa,,NGA,1986,1986,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,128.9 [122.1-135.6],128.90000,122.10000,135.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987,1987,,AFR,Africa,,NGA,1987,1987,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,129.0 [122.4-135.4],129.00000,122.40000,135.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988,1988,,AFR,Africa,,NGA,1988,1988,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,129.2 [122.8-135.5],129.20000,122.80000,135.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1989,1989,,AFR,Africa,,NGA,1989,1989,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,129.4 [123.3-135.5],129.40000,123.30000,135.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,131.8 [126.6-136.9],131.80000,126.60000,136.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,131.9 [126.8-137.1],131.90000,126.80000,137.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,132.1 [127.0-137.2],132.10000,127.00000,137.20000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2005,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,132.3 [127.2-137.3],132.30000,127.20000,137.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.5 [22.9-24.2],23.50000,22.90000,24.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1982,1982,,AFR,Africa,,NGA,1982,1982,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,27.9 [19.4-37.8],27.90000,19.40000,37.80000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2000,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,28.1 [21.8-35.1],28.10000,21.80000,35.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2001,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,27.8 [21.7-34.6],27.80000,21.70000,34.60000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2006,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,26.3 [20.7-32.1],26.30000,20.70000,32.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1980,1980,,AFR,Africa,,NGA,1980,1980,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,27.2 [18.0-37.9],27.20000,18.00000,37.90000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1995,1995,,AFR,Africa,,NGA,1995,1995,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,29.1 [22.2-36.9],29.10000,22.20000,36.90000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2009,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,25.2 [19.7-31.2],25.20000,19.70000,31.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2015,2015,,AFR,Africa,,NGA,2015,2015,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,22.7 [15.3-30.9],22.70000,15.30000,30.90000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2003,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,28.1 [22.6-34.2],28.10000,22.60000,34.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2012,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,26.0 [20.1-32.7],26.00000,20.10000,32.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1985,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,27.4 [20.4-35.5],27.40000,20.40000,35.50000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1987,1987,,AFR,Africa,,NGA,1987,1987,Nigeria,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,27.9 [21.1-35.6],27.90000,21.10000,35.60000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1992,1992,,AFR,Africa,,NGA,1992,1992,Nigeria,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,28.9 [22.2-36.1],28.90000,22.20000,36.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2009,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,26.8 [21.4-32.6],26.80000,21.40000,32.60000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2011,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,26.3 [20.7-32.7],26.30000,20.70000,32.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2014,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,25.3 [18.9-32.7],25.30000,18.90000,32.70000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1992,1992,,AFR,Africa,,NGA,1992,1992,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,24.1 [17.8-31.5],24.10000,17.80000,31.50000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2001,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,22.2 [16.9-28.2],22.20000,16.90000,28.20000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2003,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,21.6 [16.5-27.2],21.60000,16.50000,27.20000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2010,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,19.5 [14.6-24.8],19.50000,14.60000,24.80000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1989,1989,,AFR,Africa,,NGA,1989,1989,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,24.2 [17.5-31.7],24.20000,17.50000,31.70000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2004,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,21.3 [16.3-26.7],21.30000,16.30000,26.70000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2006,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,20.7 [16.0-25.9],20.70000,16.00000,25.90000,,,
